StockCode,Description,revenue,units_sold,orders,revenue_share
47566B,TEA TIME PARTY BUNTING,494.4,112,5,0.00229158967585084
22691,DOORMAT WELCOME SUNRISE,489.8,104,3,0.0022702682508732633
84991,60 TEATIME FAIRY CAKE CASES,484.6,956,16,0.002246165770463829
84997A,CHILDRENS CUTLERY POLKADOT GREEN ,469.2,120,4,0.0021747853477128115
22666,RECIPE BOX PANTRY YELLOW DESIGN,466.93,171,14,0.0021642636879956162
47590A,BLUE HAPPY BIRTHDAY BUNTING,461.18,90,8,0.0021376119067736455
22722,SET OF 6 SPICE TINS PANTRY DESIGN,458.9200000000001,122,12,0.002127136597980315
22727,ALARM CLOCK BAKELIKE RED ,454.7,120,13,0.002107576508109581
22197,SMALL POPCORN HOLDER,453.21999999999997,606,9,0.002100716571377665
48138,DOORMAT UNION FLAG,441.68,58,14,0.0020472276052382666
22961,JAM MAKING SET PRINTED,440.16999999999996,313,17,0.0020402286157347577
20726,LUNCH BAG WOODLAND,438.71000000000004,275,18,0.0020334613808505706
84997C,CHILDRENS CUTLERY POLKADOT BLUE,436.0,112,5,0.0020209002804833457
22489,PACK OF 12 TRADITIONAL CRAYONS,435.96,1180,9,0.0020207148767878887
22491,PACK OF 12 COLOURED PENCILS,435.11999999999995,600,3,0.0020168213991832874
22467,GUMBALL COAT RACK,432.9,189,12,0.002006531494085414
22989,SET 2 PANTRY DESIGN TEA TOWELS,431.0,148,9,0.0019977248185511975
23240,SET OF 4 KNICK KNACK TINS DOILY ,426.39,111,8,0.0019763570426497563
21218,RED SPOTTY BISCUIT TIN,418.58,122,7,0.0019401569711117407
21210,SET OF 72 RETROSPOT PAPER  DOILIES,417.59999999999997,288,9,0.0019356145805730395
84997D,CHILDRENS CUTLERY POLKADOT PINK,415.25,107,7,0.0019247221134649297
22636,CHILDS BREAKFAST SET CIRCUS PARADE,414.43,51,8,0.0019209213377080574
21889,WOODEN BOX OF DOMINOES,410.0,328,4,0.001900387878436174
21586,KINGS CHOICE GIANT TUBE MATCHES,403.20000000000005,192,1,0.0018688692502084523
84508A,CAMOUFLAGE DESIGN TEDDY,403.20000000000005,192,1,0.0018688692502084523
85099C,JUMBO  BAG BAROQUE BLACK WHITE,402.3,200,8,0.0018646976670606654
C2,CARRIAGE,400.0,6,6,0.001854036954571877
22865,HAND WARMER OWL DESIGN,399.23,212,6,0.0018504679334343263
22090,PAPER BUNTING RETROSPOT,398.92,148,8,0.001849031054794533
23293,SET OF 12 FAIRY CAKE BAKING CASES,395.84999999999997,488,14,0.0018348013211681937
21390,FILIGRIS HEART WITH BUTTERFLY,395.28000000000003,360,3,0.0018321593185079289
22112,CHOCOLATE HOT WATER BOTTLE,394.15,39,6,0.0018269216641112632
82583,HOT BATHS METAL SIGN,393.03,171,8,0.001821730360638462
20979,36 PENCILS TUBE RED RETROSPOT,391.36,352,6,0.0018139897563531245
23284,DOORMAT KEEP CALM AND COME IN,390.29999999999995,54,9,0.0018090765584235088
20724,RED RETROSPOT CHARLOTTE BAG,390.0,520,10,0.0018076860307075801
23159,SET OF 5 PANCAKE DAY MAGNETS,388.90000000000003,185,8,0.0018025874290825076
22382,LUNCH BAG SPACEBOY DESIGN ,387.55,247,13,0.0017963300543608273
22622,BOX OF VINTAGE ALPHABET BLOCKS,382.2,36,5,0.0017715323100934285
22619,SET OF 6 SOLDIER SKITTLES,379.95,109,7,0.0017611033522239616
23108,SET OF 10 LED DOLLY LIGHTS,377.1,60,17,0.001747893338922637
23010,CIRCUS PARADE BABY GIFT SET,375.74999999999994,25,2,0.0017416359642009568
23009,I LOVE LONDON BABY GIFT SET,375.74999999999994,25,3,0.0017416359642009568
22721,SET OF 3 CAKE TINS SKETCHBOOK,375.6,78,9,0.0017409407003429926
22655,VINTAGE RED KITCHEN CABINET,375.0,3,2,0.0017381596449111347
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,370.85,673,8,0.0017189240115074516
23296,SET OF 6 TEA TIME BAKING CASES,369.07,335,9,0.0017106735470596066
22660,DOORMAT I LOVE LONDON,368.43,51,2,0.0017077070879322916
22692,DOORMAT WELCOME TO OUR HOME,367.95,49,15,0.0017054822435868054
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,367.13,1499,5,0.001701681467829933
22468,BABUSHKA LIGHTS STRING OF 10,366.6,60,3,0.0016992248688651253
23541,WALL ART CLASSIC PUDDINGS ,365.85,49,2,0.0016957485495753032
22556,PLASTERS IN TIN CIRCUS PARADE ,364.65,221,17,0.0016901864387115872
22383,LUNCH BAG SUKI DESIGN ,362.11,204,12,0.001678413304050056
22752,SET 7 BABUSHKA NESTING BOXES,362.1,45,6,0.0016783669531261918
21914,BLUE HARMONICA IN BOX ,360.65,325,6,0.0016716460691658685
22992,REVOLVER WOODEN RULER ,354.59999999999997,204,5,0.001643603760227969
21918,SET 12 KIDS COLOUR  CHALK STICKS,351.84,920,6,0.001630810905241423
23158,SET OF 5 LUCKY CAT MAGNETS ,350.96,182,5,0.0016267320239413648
22582,PACK OF 6 SWEETIE GIFT BOXES,348.30000000000007,162,4,0.0016144026781934621
22178,VICTORIAN GLASS HANGING T-LIGHT,342.36,266,8,0.0015868702294180696
15056BL,EDWARDIAN PARASOL BLACK,339.15000000000003,57,7,0.0015719915828576304
47591D,PINK FAIRY CAKE CHILDRENS APRON,331.35,193,9,0.0015358378622434786
22846,BREAD BIN DINER STYLE RED ,331.34,20,7,0.0015357915113196141
84879,ASSORTED COLOUR BIRD ORNAMENT,331.24,196,13,0.0015353280020809713
22030,SWALLOWS GREETING CARD,328.32,912,2,0.0015217935323125966
23078,ICE CREAM PEN LIP GLOSS ,327.46,261,6,0.001517807352860267
21056,DOCTOR'S BAG SOFT TOY,326.95,41,2,0.001515443455743188
21481,FAWN BLUE HOT WATER BOTTLE,326.81,96,12,0.001514794542809088
23206,LUNCH BAG APPLE DESIGN,326.35,205,12,0.0015126624003113302
22355,CHARLOTTE BAG SUKI DESIGN,324.74,204,7,0.0015051999015691783
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",324.25,63,10,0.0015029287062998278
22138,BAKING SET 9 PIECE RETROSPOT ,315.74,66,13,0.0014634840700913111
21232,STRAWBERRY CERAMIC TRINKET BOX,314.42,238,16,0.001457365748141224
22848,BREAD BIN DINER STYLE PINK,314.39,19,7,0.0014572266953696309
21716,BOYS VINTAGE TIN SEASIDE BUCKET,313.68,106,5,0.001453935779775266
21900,"KEY FOB , SHED",312.43,587,3,0.0014481419142922287
84029E,RED WOOLLY HOTTIE WHITE HEART.,312.40999999999997,79,4,0.0014480492124445
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,312.15,89,7,0.0014468440884240284
84836,ZINC METAL HEART DECORATION,311.42,281,8,0.0014434604709819348
22607,WOODEN ROUNDERS GARDEN SET ,310.55,35,5,0.0014394279406057411
22907,PACK OF 20 NAPKINS PANTRY DESIGN,310.47999999999996,379,18,0.0014391034841386907
23341,PINK DINER WALL CLOCK,309.40000000000003,40,2,0.001434097584361347
22383,LUNCH BAG SUKI  DESIGN ,308.38,193,5,0.0014293697901271885
20685,DOORMAT RED RETROSPOT,306.94,40,11,0.0014226952570907299
22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,305.19,109,7,0.0014145838454144779
22844,VINTAGE CREAM DOG FOOD CONTAINER,303.56,35,10,0.0014070286448245974
84356,POMPOM CURTAIN,302.97,51,3,0.0014042939403166041
23241,TREASURE TIN GYMKHANA DESIGN,301.73,160,5,0.0013985464257574311
22672,FRENCH BATHROOM SIGN BLUE METAL,301.5,206,3,0.0013974803545085523
23162,REGENCY TEA STRAINER,300.38,85,6,0.001392289051035751
22457,NATURAL SLATE HEART CHALKBOARD ,297.51000000000005,97,15,0.001378986335886698
23156,SET OF 5 MINI GROCERY MAGNETS,296.88,156,4,0.001376066227683247
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,295.45,111,7,0.0013694380455706527
22417,PACK OF 60 SPACEBOY CAKE CASES,292.98,615,14,0.0013579893673761714
23236,DOILEY STORAGE TIN,292.92,108,4,0.0013577112618329856
23371,SET 36 COLOUR PENCILS SPACEBOY ,292.61,273,4,0.0013562743831931924
22951,60 CAKE CASES DOLLY GIRL DESIGN,290.9,556,11,0.0013483483752123975
22993,SET OF 4 PANTRY JELLY MOULDS,288.71,230,18,0.0013381975228861165
20727,LUNCH BAG  BLACK SKULL.,288.62,172,9,0.001337780364571338
23368,SET 12 COLOUR PENCILS DOLLY GIRL ,286.00000000000006,440,4,0.0013256364225188923
20713,JUMBO BAG OWLS,285.8,155,6,0.0013247094040416062
22968,ROSE COTTAGE KEEPSAKE BOX ,285.25,31,7,0.0013221601032290698
85066,CREAM SWEETHEART MINI CHEST,282.45,23,8,0.0013091818445470666
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,282.24,72,4,0.0013082084751459165
22555,PLASTERS IN TIN STRONGMAN,282.15,171,14,0.0013077913168311377
22079,RIBBON REEL HEARTS DESIGN ,281.19,179,9,0.0013033416281401653
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,281.04,360,6,0.001302646364282201
23173,REGENCY TEAPOT ROSES ,278.65999999999997,27,8,0.001291614844402498
21908,CHOCOLATE THIS WAY METAL SIGN,277.73,137,8,0.0012873042084831185
22041,"RECORD FRAME 7"" SINGLE SIZE ",277.26,120,5,0.0012851257150614966
17003,BROCADE RING PURSE ,276.48,864,4,0.0012815103430000815
22621,TRADITIONAL KNITTING NANCY,276.44,184,7,0.0012813249393046242
21671,RED SPOT CERAMIC DRAWER KNOB,276.24,216,4,0.0012803979208273384
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,275.26,107,6,0.001275855530288637
22697,GREEN REGENCY TEACUP AND SAUCER,271.29,91,12,0.0012574542135145113
20719,WOODLAND CHARLOTTE BAG,270.87,341,14,0.0012555074747122108
22649,STRAWBERRY FAIRY CAKE TEAPOT,270.3,58,6,0.0012528654720519459
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,270.0,72,2,0.001251474944336017
22329,ROUND CONTAINER SET OF 5 RETROSPOT,269.84999999999997,181,6,0.0012507796804780524
21212,PACK OF 72 RETROSPOT CAKE CASES,266.97,462,23,0.0012374306144051351
22384,LUNCH BAG PINK POLKADOT,265.45,173,12,0.0012303852739777618
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,264.9,86,6,0.0012278359731652255
21785,RAIN PONCHO ,264.55,407,1,0.0012262136908299751
22273,FELTCRAFT DOLL MOLLY,263.89,95,7,0.0012231545298549316
22627,MINT KITCHEN SCALES,263.5,31,14,0.001221346843824224
21484,CHICK GREY HOT WATER BOTTLE,262.99,65,8,0.001218982946707145
22189,CREAM HEART CARD HOLDER,260.47,73,7,0.001207302513893342
21289,LARGE STRIPES CHOCOLATE GIFT BAG,260.0,208,2,0.0012051240204717201
23154,SET OF 4 JAM JAR MAGNETS,259.97,124,3,0.0012049849677001274
22845,VINTAGE CREAM CAT FOOD CONTAINER,259.90999999999997,44,6,0.0012047068621569412
85178,VICTORIAN SEWING KIT,259.79999999999995,300,2,0.0012041970019944339
21292,SMALL STRIPES CHOCOLATE GIFT BAG ,259.36,400,2,0.0012021575613444051
23008,DOLLY GIRL BABY GIFT SET,259.2,16,8,0.0012014159465625763
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,259.18,50,12,0.0012013232447148478
22385,JUMBO BAG SPACEBOY DESIGN,258.34000000000003,145,7,0.001197429767110247
23203,JUMBO BAG DOILEY PATTERNS,257.98,136,8,0.001195761133851132
23514,EMBROIDERED RIBBON REEL SALLY ,257.76,144,1,0.0011947414135261175
22904,CALENDAR PAPER CUT DESIGN,257.1,98,4,0.0011916822525510741
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,257.05,57,6,0.0011914504979317524
21524,DOORMAT SPOTTY HOME SWEET HOME,256.65,35,7,0.0011895964609771805
22244,3 HOOK HANGER MAGIC GARDEN,253.95,145,6,0.0011770817115338203
22699,ROSES REGENCY TEACUP AND SAUCER ,253.70000000000005,86,12,0.0011759229384372132
22751,FELTCRAFT PRINCESS OLIVIA DOLL,252.72,72,4,0.0011713805478985118
20676,RED RETROSPOT BOWL,252.47,197,16,0.0011702217748019044
21843,RED RETROSPOT CAKE STAND,251.85,23,10,0.001167348017522318
23208,LUNCH BAG VINTAGE LEAF DESIGN,250.6,164,6,0.0011615541520392809
20679,EDWARDIAN PARASOL RED,249.90000000000003,42,4,0.0011583095873687803
37448,CERAMIC CAKE DESIGN SPOTTED MUG,245.16,180,7,0.0011363392494571033
37449,CERAMIC CAKE STAND + HANGING CAKES,243.8,28,5,0.0011300355238115592
21260,FIRST AID TIN,243.75,75,6,0.0011298037691922374
23199,JUMBO BAG APPLES,239.86,112,12,0.001111773259809026
22779,WOODEN OWLS LIGHT GARLAND ,239.5,62,4,0.0011101046265499113
21930,JUMBO STORAGE BAG SKULLS,238.66000000000003,120,7,0.0011062111489453105
23494,VINTAGE DOILY DELUXE SEWING KIT ,238.0,40,1,0.0011031519879702667
22899,CHILDREN'S APRON DOLLY GIRL ,235.4,124,4,0.0010911007477655496
22416,SET OF 36 DOILIES SPACEBOY DESIGN ,233.45,161,3,0.0010820623176120117
22766,PHOTO FRAME CORNICE,233.05,79,10,0.0010802082806574398
22745,POPPY'S PLAYHOUSE BEDROOM ,232.73000000000002,117,11,0.0010787250510937824
85099F,JUMBO BAG STRAWBERRY,232.31,132,6,0.001076778312291482
22560,TRADITIONAL MODELLING CLAY,231.69,182,8,0.0010739045550118955
22659,LUNCH BOX I LOVE LONDON,230.48999999999998,127,12,0.0010683424441481797
79321,CHILLI LIGHTS,228.92000000000002,50,3,0.0010610653491014853
21385,IVORY HANGING DECORATION  HEART,227.76,312,2,0.0010556886419332268
22949,36 DOILIES DOLLY GIRL,227.64999999999998,157,3,0.0010551787817707195
23171,REGENCY TEA PLATE GREEN ,226.64,148,8,0.0010504973384604253
21931,JUMBO STORAGE BAG SUKI,226.51,111,10,0.0010498947764501895
20717,STRAWBERRY SHOPPER BAG,225.88,193,6,0.001046974668246739
23202,JUMBO BAG VINTAGE LEAF,224.58,106,12,0.0010409490481443804
21974,SET OF 36 PAISLEY FLOWER DOILIES,223.66,172,6,0.001036684763148865
23209,LUNCH BAG DOILEY PATTERN ,221.73,145,7,0.0010277390348430557
22149,FELTCRAFT 6 FLOWER FRIENDS,219.18,79,10,0.00101591954925766
23355,HOT WATER BOTTLE KEEP CALM,218.4,48,5,0.0010123041771962448
22557,PLASTERS IN TIN VINTAGE PAISLEY ,218.39999999999998,144,5,0.0010123041771962448
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,216.87,267,8,0.0010052124858450074
23295,SET OF 12 MINI LOAF BAKING CASES,216.68999999999997,295,7,0.00100437816921545
22580,ADVENT CALENDAR GINGHAM SACK,214.20000000000002,36,4,0.0009928367891732402
22605,WOODEN CROQUET GARDEN SET,212.8,16,5,0.0009863476598322386
22540,MINI JIGSAW CIRCUS PARADE ,211.5,651,4,0.00098032203972988
22197,POPCORN HOLDER,211.14999999999998,279,9,0.0009786997573946294
22843,BISCUIT TIN VINTAGE GREEN,210.3,34,4,0.0009747599288661644
23446,BLUE BUNNY EASTER EGG BASKET,208.79999999999998,144,1,0.0009678072902865198
21175,GIN + TONIC DIET METAL SIGN,208.66,83,8,0.0009671583773524196
84988,SET OF 72 PINK HEART PAPER DOILIES,207.85,137,11,0.0009634039525194116
22736,RIBBON REEL MAKING SNOWMEN ,207.0,140,3,0.0009594641239909463
22867,HAND WARMER BIRD DESIGN,206.93000000000004,109,3,0.0009591396675238964
21242,RED RETROSPOT PLATE ,206.79999999999998,136,5,0.0009585371055136603
82494L,WOODEN FRAME ANTIQUE WHITE ,205.75000000000003,73,11,0.0009536702585079094
22584,PACK OF 6 PANNETONE GIFT BOXES,205.57,74,7,0.0009528359418783519
23597,PAPER BUNTING PAISLEY PARK,204.0,80,1,0.0009455588468316573
22567,20 DOLLY PEGS RETROSPOT,202.81,169,7,0.0009400430868918059
22663,JUMBO BAG DOLLY GIRL DESIGN,201.88,111,3,0.0009357324509724263
21791,VINTAGE HEADS AND TAILS CARD GAME ,199.92,158,8,0.0009266476698950241
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,199.81,88,7,0.0009261378097325169
23326,HANGING MINI COLOURED BOTTLES,199.68,384,1,0.0009255352477222811
21155,RED RETROSPOT PEG BAG,198.93,61,9,0.0009220589284324587
21976,PACK OF 60 MUSHROOM CAKE CASES,197.36,410,8,0.0009147818333857642
84558A,3D DOG PICTURE PLAYING CARDS,196.99,67,4,0.0009130668492027852
21217,RED RETROSPOT ROUND CAKE TINS,196.95,21,4,0.0009128814455073279
21933,PINK VINTAGE PAISLEY PICNIC BAG,196.6,84,7,0.0009112591631720775
47590B,PINK HAPPY BIRTHDAY BUNTING,196.20000000000002,36,3,0.0009094051262175057
22236,CAKE STAND 3 TIER MAGIC GARDEN,195.14999999999998,17,3,0.0009045382792117544
22080,RIBBON REEL POLKADOTS ,193.79,131,3,0.00089823455356621
22963,JAM JAR WITH GREEN LID,193.19999999999996,264,3,0.0008954998490582164
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,190.81,92,9,0.0008844219782546496
48194,DOORMAT HEARTS,190.41000000000003,25,5,0.0008825679413000778
22488,NATURAL SLATE RECTANGLE CHALKBOARD,190.29,121,7,0.0008820117302137062
22925,BLUE GIANT GARDEN THERMOMETER,190.10000000000002,38,2,0.0008811310626602847
22544,MINI JIGSAW SPACEBOY,189.92999999999998,531,4,0.0008803430969545914
82600,NO SINGING METAL SIGN,187.98000000000002,87,6,0.0008713046668010537
22835,HOT WATER BOTTLE I AM SO POORLY,186.91,40,7,0.0008663451179475738
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,186.89999999999998,138,8,0.0008662987670237095
22859,EASTER TIN BUNNY BOUQUET,186.3,126,3,0.0008635177115918518
22469,HEART OF WICKER SMALL,185.62999999999997,111,12,0.0008604121996929437
22978,PANTRY ROLLING PIN,185.22,54,2,0.0008585118118145076
22698,PINK REGENCY TEACUP AND SAUCER,185.10000000000002,66,7,0.0008579556007281362
21787,RAIN PONCHO RETROSPOT,183.70000000000002,250,4,0.0008514664713871346
22549,PICTURE DOMINOES,183.42,135,8,0.0008501686455189341
21086,SET/6 RED SPOTTY PAPER CUPS,183.4,316,8,0.0008500759436712056
20723,STRAWBERRY CHARLOTTE BAG,183.4,141,6,0.0008500759436712056
48185,DOORMAT FAIRY CAKE,183.13,21,5,0.0008488244687268696
22760,"TRAY, BREAKFAST IN BED",182.39999999999998,16,3,0.0008454408512847758
22746,POPPY'S PLAYHOUSE LIVINGROOM ,181.49,93,9,0.000841222917213125
23370,SET 36 COLOURING PENCILS DOILY,180.0,144,2,0.0008343166295573446
23076,ICE CREAM SUNDAE LIP GLOSS,180.0,144,5,0.0008343166295573446
22470,HEART OF WICKER LARGE,179.95000000000002,61,8,0.0008340848749380232
22796,PHOTO FRAME 3 CLASSIC HANGING,179.1,18,6,0.0008301450464095579
21755,LOVE BUILDING BLOCK WORD,178.59,27,8,0.0008277811492924788
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,178.5,21,7,0.0008273639909777001
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,178.45,67,5,0.0008271322363583786
21922,UNION STRIPE WITH FRINGE  HAMMOCK,177.44,25,3,0.0008224507930480846
23299,FOOD COVER WITH BEADS SET 2 ,176.96,51,2,0.0008202259487025984
21929,JUMBO BAG PINK VINTAGE PAISLEY,174.97,65,7,0.0008110021148536033
22530,MAGIC DRAWING SLATE DOLLY GIRL ,173.88,414,5,0.0008059498641523949
84946,ANTIQUE SILVER T-LIGHT GLASS,172.68,82,5,0.0008003877532886793
22896,PEG BAG APPLES DESIGN,171.3,76,4,0.0007939913257954064
21981,PACK OF 12 WOODLAND TISSUES ,170.64,648,5,0.0007909321648203627
22729,ALARM CLOCK BAKELIKE ORANGE,170.32999999999998,43,9,0.0007894952861805695
22941,CHRISTMAS LIGHTS 10 REINDEER,169.98000000000002,19,5,0.0007878730038453192
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,168.85999999999999,206,12,0.0007826817003725178
21790,VINTAGE SNAP CARDS,168.76999999999998,203,8,0.0007822645420577392
22748,POPPY'S PLAYHOUSE KITCHEN,167.70000000000002,87,6,0.0007773049932042595
22302,COFFEE MUG PEARS  DESIGN,167.4,72,4,0.0007759144654883306
21213,PACK OF 72 SKULL CAKE CASES,166.63,343,7,0.0007723454443507796
21700,BIG DOUGHNUT FRIDGE MAGNETS,166.6,196,6,0.0007722063915791867
22915,ASSORTED BOTTLE TOP  MAGNETS ,166.32,396,5,0.0007709085657109865
22634,CHILDS BREAKFAST SET SPACEBOY ,165.85,19,3,0.0007687300722893645
22952,60 CAKE CASES VINTAGE CHRISTMAS,165.2,352,7,0.0007657172622381851
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,165.0,1,1,0.0007647902437608993
22617,BAKING SET SPACEBOY DESIGN,164.24,32,10,0.0007612675735472127
21181,PLEASE ONE PERSON METAL SIGN,163.8,78,9,0.0007592281328971836
23290,SPACEBOY CHILDRENS BOWL,163.70000000000002,154,3,0.0007587646236585407
22840,ROUND CAKE TIN VINTAGE RED,162.9,22,6,0.000755056549749397
84992,72 SWEETHEART FAIRY CAKE CASES,162.8,296,13,0.000754593040510754
22435,SET OF 9 HEART SHAPED BALLOONS,160.0,128,4,0.0007416147818287508
23524,HORSE & PONY WALL ART,157.92000000000002,48,1,0.0007319737896649771
22271,FELTCRAFT DOLL ROSIE,157.8,60,3,0.0007314175785786055
22616,PACK OF 12 LONDON TISSUES ,157.07999999999998,492,7,0.000728080312060376
22327,ROUND SNACK BOXES SET OF 4 SKULLS,154.74,58,4,0.0007172341958761306
22626,BLACK KITCHEN SCALES,153.0,18,4,0.000709169135123743
22113,GREY HEART HOT WATER BOTTLE,152.75,39,6,0.0007080103620271355
21124,SET/10 BLUE POLKADOT PARTY CANDLES,152.5,122,6,0.0007068515889305281
23196,VINTAGE LEAF MAGNETIC NOTEPAD,152.29,117,7,0.0007058782195293778
85152,HAND OVER THE CHOCOLATE   SIGN ,151.8,78,5,0.0007036070242600273
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,151.5,18,4,0.0007022164965440985
23210,WHITE ROCKING HORSE HAND PAINTED,150.0,120,5,0.0006952638579644538
23561,SET OF 6 RIBBONS PARTY,149.4,60,1,0.0006924828025325961
23238,SET OF 4 KNICK KNACK TINS LONDON ,149.4,36,5,0.0006924828025325961
22747,POPPY'S PLAYHOUSE BATHROOM,148.8,78,3,0.0006897017471007383
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,148.8,48,4,0.0006897017471007383
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,148.79999999999998,96,5,0.0006897017471007382
