InvoiceNo,StockCode,Description,Quantity,InvoiceDate,InvoiceDateOnly,Year,Month,YearMonth,DayOfWeek,UnitPrice,Revenue,CustomerIDClean,CustomerSegment,Country,revenue
536561,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2010-12-01 15:06:00,2010-12-01,2010,12,2010-12,Wednesday,1.95,23.4,12921,Identified customer,United Kingdom,23.4
536578,21484,CHICK GREY HOT WATER BOTTLE,8,2010-12-01 16:15:00,2010-12-01,2010,12,2010-12,Wednesday,3.45,27.6,17690,Identified customer,United Kingdom,27.6
536582,21481,FAWN BLUE HOT WATER BOTTLE,6,2010-12-01 16:21:00,2010-12-01,2010,12,2010-12,Wednesday,2.95,17.700000000000003,12947,Identified customer,United Kingdom,17.700000000000003
536592,17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,1,2010-12-01 17:06:00,2010-12-01,2010,12,2010-12,Wednesday,2.51,2.51,Unknown,Unknown customer,United Kingdom,2.51
536592,22945,CHRISTMAS METAL TAGS ASSORTED ,2,2010-12-01 17:06:00,2010-12-01,2010,12,2010-12,Wednesday,11.02,22.04,Unknown,Unknown customer,United Kingdom,22.04
536592,82613C,"METAL SIGN,CUPCAKE SINGLE HOOK",1,2010-12-01 17:06:00,2010-12-01,2010,12,2010-12,Wednesday,2.51,2.51,Unknown,Unknown customer,United Kingdom,2.51
536592,35965,FOLKART HEART NAPKIN RINGS,4,2010-12-01 17:06:00,2010-12-01,2010,12,2010-12,Wednesday,3.36,13.44,Unknown,Unknown customer,United Kingdom,13.44
536596,21967,PACK OF 12 SKULL TISSUES,1,2010-12-01 17:29:00,2010-12-01,2010,12,2010-12,Wednesday,0.29,0.29,Unknown,Unknown customer,United Kingdom,0.29
536597,21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,1,2010-12-01 17:35:00,2010-12-01,2010,12,2010-12,Wednesday,4.95,4.95,18011,Identified customer,United Kingdom,4.95
536630,21871,SAVE THE PLANET MUG,6,2010-12-02 10:56:00,2010-12-02,2010,12,2010-12,Thursday,1.06,6.36,17850,Identified customer,United Kingdom,6.36
536634,21967,PACK OF 12 SKULL TISSUES,12,2010-12-02 11:21:00,2010-12-02,2010,12,2010-12,Thursday,0.29,3.4799999999999995,18041,Identified customer,United Kingdom,3.4799999999999995
536638,84510A,SET OF 4 ENGLISH ROSE COASTERS,10,2010-12-02 11:41:00,2010-12-02,2010,12,2010-12,Thursday,1.25,12.5,16244,Identified customer,United Kingdom,12.5
536693,22632,HAND WARMER RED POLKA DOT,6,2010-12-02 12:26:00,2010-12-02,2010,12,2010-12,Thursday,1.85,11.1,17850,Identified customer,United Kingdom,11.100000000000001
536739,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2010-12-02 13:08:00,2010-12-02,2010,12,2010-12,Thursday,2.95,17.700000000000003,14180,Identified customer,United Kingdom,17.700000000000003
536747,85049G,CHOCOLATE BOX RIBBONS ,3,2010-12-02 13:44:00,2010-12-02,2010,12,2010-12,Thursday,1.25,3.75,17802,Identified customer,United Kingdom,3.75
536780,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1,2010-12-02 15:09:00,2010-12-02,2010,12,2010-12,Thursday,2.95,2.95,Unknown,Unknown customer,United Kingdom,2.95
536782,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-02 15:18:00,2010-12-02,2010,12,2010-12,Thursday,1.25,15.0,17567,Identified customer,United Kingdom,15.0
536802,21463,MIRRORED DISCO BALL ,2,2010-12-02 16:29:00,2010-12-02,2010,12,2010-12,Thursday,5.95,11.9,17412,Identified customer,United Kingdom,11.9
536804,22988,SOLDIERS EGG CUP ,72,2010-12-02 16:34:00,2010-12-02,2010,12,2010-12,Thursday,1.25,90.0,14031,Identified customer,United Kingdom,90.0
536804,22777,GLASS CLOCHE LARGE,12,2010-12-02 16:34:00,2010-12-02,2010,12,2010-12,Thursday,7.65,91.8,14031,Identified customer,United Kingdom,91.80000000000001
536830,21915,RED  HARMONICA IN BOX ,1400,2010-12-02 17:38:00,2010-12-02,2010,12,2010-12,Thursday,1.06,1484.0,16754,Identified customer,United Kingdom,1484.0
536836,22633,HAND WARMER UNION JACK,4,2010-12-02 18:08:00,2010-12-02,2010,12,2010-12,Thursday,2.1,8.4,18168,Identified customer,United Kingdom,8.4
536841,22766,PHOTO FRAME CORNICE,8,2010-12-02 18:27:00,2010-12-02,2010,12,2010-12,Thursday,2.95,23.6,16150,Identified customer,United Kingdom,23.6
536848,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,80,2010-12-03 09:39:00,2010-12-03,2010,12,2010-12,Friday,2.55,204.0,13408,Identified customer,United Kingdom,204.0
536865,20752,BLUE POLKADOT WASHING UP GLOVES,1,2010-12-03 11:28:00,2010-12-03,2010,12,2010-12,Friday,4.21,4.21,Unknown,Unknown customer,United Kingdom,4.21
536874,22153,ANGEL DECORATION STARS ON DRESS,1,2010-12-03 11:35:00,2010-12-03,2010,12,2010-12,Friday,0.42,0.42,16891,Identified customer,United Kingdom,0.42
536876,84970S,HANGING HEART ZINC T-LIGHT HOLDER,1,2010-12-03 11:36:00,2010-12-03,2010,12,2010-12,Friday,2.13,2.13,Unknown,Unknown customer,United Kingdom,2.13
536876,22812,PACK 3 BOXES CHRISTMAS PANNETONE,4,2010-12-03 11:36:00,2010-12-03,2010,12,2010-12,Friday,4.21,16.84,Unknown,Unknown customer,United Kingdom,16.84
536876,22196,SMALL HEART MEASURING SPOONS,2,2010-12-03 11:36:00,2010-12-03,2010,12,2010-12,Friday,1.66,3.32,Unknown,Unknown customer,United Kingdom,3.32
536876,84692,BOX OF 24 COCKTAIL PARASOLS,1,2010-12-03 11:36:00,2010-12-03,2010,12,2010-12,Friday,0.85,0.85,Unknown,Unknown customer,United Kingdom,0.85
536890,17090A,LAVENDER INCENSE 40 CONES IN TIN,36,2010-12-03 11:48:00,2010-12-03,2010,12,2010-12,Friday,0.85,30.6,14156,Identified customer,EIRE,30.599999999999998
536944,22383,LUNCH BAG SUKI  DESIGN ,70,2010-12-03 12:20:00,2010-12-03,2010,12,2010-12,Friday,1.65,115.5,12557,Identified customer,Spain,115.5
536944,20728,LUNCH BAG CARS BLUE,100,2010-12-03 12:20:00,2010-12-03,2010,12,2010-12,Friday,1.45,145.0,12557,Identified customer,Spain,145.0
536947,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-03 12:29:00,2010-12-03,2010,12,2010-12,Friday,0.55,13.2,13013,Identified customer,United Kingdom,13.200000000000001
536947,21592,RETROSPOT CIGAR BOX MATCHES ,24,2010-12-03 12:29:00,2010-12-03,2010,12,2010-12,Friday,1.25,30.0,13013,Identified customer,United Kingdom,30.0
536971,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2010-12-03 13:40:00,2010-12-03,2010,12,2010-12,Friday,1.25,30.0,12779,Identified customer,Poland,30.0
536971,22844,VINTAGE CREAM DOG FOOD CONTAINER,4,2010-12-03 13:40:00,2010-12-03,2010,12,2010-12,Friday,8.5,34.0,12779,Identified customer,Poland,34.0
536971,37448,CERAMIC CAKE DESIGN SPOTTED MUG,24,2010-12-03 13:40:00,2010-12-03,2010,12,2010-12,Friday,1.49,35.76,12779,Identified customer,Poland,35.76
536971,22961,JAM MAKING SET PRINTED,12,2010-12-03 13:40:00,2010-12-03,2010,12,2010-12,Friday,1.45,17.4,12779,Identified customer,Poland,17.4
536971,37446,MINI CAKE STAND WITH HANGING CAKES,8,2010-12-03 13:40:00,2010-12-03,2010,12,2010-12,Friday,1.45,11.6,12779,Identified customer,Poland,11.6
536971,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,2010-12-03 13:40:00,2010-12-03,2010,12,2010-12,Friday,0.85,20.4,12779,Identified customer,Poland,20.4
536971,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-03 13:40:00,2010-12-03,2010,12,2010-12,Friday,1.45,17.4,12779,Identified customer,Poland,17.4
536971,21733,RED HANGING HEART T-LIGHT HOLDER,32,2010-12-03 13:40:00,2010-12-03,2010,12,2010-12,Friday,2.55,81.6,12779,Identified customer,Poland,81.6
536973,21843,RED RETROSPOT CAKE STAND,3,2010-12-03 13:43:00,2010-12-03,2010,12,2010-12,Friday,10.95,32.849999999999994,17787,Identified customer,United Kingdom,32.849999999999994
536975,22942,CHRISTMAS LIGHTS 10 SANTAS ,10,2010-12-03 14:04:00,2010-12-03,2010,12,2010-12,Friday,8.5,85.0,14911,Identified customer,EIRE,85.0
536975,20982,12 PENCILS TALL TUBE SKULLS,12,2010-12-03 14:04:00,2010-12-03,2010,12,2010-12,Friday,0.85,10.2,14911,Identified customer,EIRE,10.2
536975,84558A,3D DOG PICTURE PLAYING CARDS,6,2010-12-03 14:04:00,2010-12-03,2010,12,2010-12,Friday,2.95,17.700000000000003,14911,Identified customer,EIRE,17.700000000000003
536975,84559B,3D SHEET OF CAT STICKERS,12,2010-12-03 14:04:00,2010-12-03,2010,12,2010-12,Friday,0.85,10.2,14911,Identified customer,EIRE,10.2
536976,22131,FOOD CONTAINER SET 3 LOVE HEART ,1,2010-12-03 14:18:00,2010-12-03,2010,12,2010-12,Friday,1.95,1.95,14723,Identified customer,United Kingdom,1.95
536990,22383,LUNCH BAG SUKI  DESIGN ,10,2010-12-03 15:14:00,2010-12-03,2010,12,2010-12,Friday,1.65,16.5,12793,Identified customer,Portugal,16.5
537022,79337,BLUE FLOCK GLASS CANDLEHOLDER,6,2010-12-03 15:45:00,2010-12-03,2010,12,2010-12,Friday,1.65,9.9,12725,Identified customer,Italy,9.899999999999999
537022,POST,POSTAGE,2,2010-12-03 15:45:00,2010-12-03,2010,12,2010-12,Friday,28.0,56.0,12725,Identified customer,Italy,56.0
537022,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,6,2010-12-03 15:45:00,2010-12-03,2010,12,2010-12,Friday,4.25,25.5,12725,Identified customer,Italy,25.5
537022,22697,GREEN REGENCY TEACUP AND SAUCER,6,2010-12-03 15:45:00,2010-12-03,2010,12,2010-12,Friday,2.95,17.700000000000003,12725,Identified customer,Italy,17.700000000000003
537022,85111,SILVER GLITTER FLOWER VOTIVE HOLDER,12,2010-12-03 15:45:00,2010-12-03,2010,12,2010-12,Friday,1.25,15.0,12725,Identified customer,Italy,15.0
537022,22809,SET OF 6 T-LIGHTS SANTA,6,2010-12-03 15:45:00,2010-12-03,2010,12,2010-12,Friday,2.95,17.700000000000003,12725,Identified customer,Italy,17.700000000000003
537026,22355,CHARLOTTE BAG SUKI DESIGN,10,2010-12-03 16:35:00,2010-12-03,2010,12,2010-12,Friday,0.85,8.5,12395,Identified customer,Belgium,8.5
537026,21217,RED RETROSPOT ROUND CAKE TINS,2,2010-12-03 16:35:00,2010-12-03,2010,12,2010-12,Friday,9.95,19.9,12395,Identified customer,Belgium,19.9
537047,22601,CHRISTMAS RETROSPOT ANGEL WOOD,5,2010-12-05 11:02:00,2010-12-05,2010,12,2010-12,Sunday,0.85,4.25,13069,Identified customer,United Kingdom,4.25
537065,21787,RAIN PONCHO RETROSPOT,24,2010-12-05 11:57:00,2010-12-05,2010,12,2010-12,Sunday,0.85,20.4,12567,Identified customer,France,20.4
537065,22968,ROSE COTTAGE KEEPSAKE BOX ,8,2010-12-05 11:57:00,2010-12-05,2010,12,2010-12,Sunday,8.5,68.0,12567,Identified customer,France,68.0
537065,21439,BASKET OF TOADSTOOLS,12,2010-12-05 11:57:00,2010-12-05,2010,12,2010-12,Sunday,1.25,15.0,12567,Identified customer,France,15.0
537065,21774,DECORATIVE CATS BATHROOM BOTTLE,12,2010-12-05 11:57:00,2010-12-05,2010,12,2010-12,Sunday,1.25,15.0,12567,Identified customer,France,15.0
537081,22273,FELTCRAFT DOLL MOLLY,12,2010-12-05 12:00:00,2010-12-05,2010,12,2010-12,Sunday,2.95,35.400000000000006,15332,Identified customer,Lithuania,35.400000000000006
537081,22306,SILVER MUG BONE CHINA TREE OF LIFE,36,2010-12-05 12:00:00,2010-12-05,2010,12,2010-12,Sunday,1.65,59.4,15332,Identified customer,Lithuania,59.4
537081,15056BL,EDWARDIAN PARASOL BLACK,12,2010-12-05 12:00:00,2010-12-05,2010,12,2010-12,Sunday,5.95,71.4,15332,Identified customer,Lithuania,71.4
537081,21429,RED GINGHAM ROSE JEWELLERY BOX,8,2010-12-05 12:00:00,2010-12-05,2010,12,2010-12,Sunday,1.65,13.2,15332,Identified customer,Lithuania,13.2
537081,20679,EDWARDIAN PARASOL RED,12,2010-12-05 12:00:00,2010-12-05,2010,12,2010-12,Sunday,5.95,71.4,15332,Identified customer,Lithuania,71.4
537081,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,2010-12-05 12:00:00,2010-12-05,2010,12,2010-12,Sunday,1.65,39.6,15332,Identified customer,Lithuania,39.599999999999994
537081,22751,FELTCRAFT PRINCESS OLIVIA DOLL,16,2010-12-05 12:00:00,2010-12-05,2010,12,2010-12,Sunday,3.75,60.0,15332,Identified customer,Lithuania,60.0
537081,20681,PINK POLKADOT CHILDRENS UMBRELLA,6,2010-12-05 12:00:00,2010-12-05,2010,12,2010-12,Sunday,3.25,19.5,15332,Identified customer,Lithuania,19.5
537086,22750,FELTCRAFT PRINCESS LOLA DOLL,16,2010-12-05 12:01:00,2010-12-05,2010,12,2010-12,Sunday,3.75,60.0,15332,Identified customer,Lithuania,60.0
537086,85206A,CREAM FELT EASTER EGG BASKET,24,2010-12-05 12:01:00,2010-12-05,2010,12,2010-12,Sunday,1.65,39.6,15332,Identified customer,Lithuania,39.599999999999994
537126,22210,WOOD STAMP SET BEST WISHES,1,2010-12-05 12:13:00,2010-12-05,2010,12,2010-12,Sunday,1.65,1.65,18118,Identified customer,United Kingdom,1.65
537135,22865,HAND WARMER OWL DESIGN,5,2010-12-05 12:35:00,2010-12-05,2010,12,2010-12,Sunday,2.1,10.5,17059,Identified customer,United Kingdom,10.5
537155,20754,RETROSPOT RED WASHING UP GLOVES,1,2010-12-05 13:05:00,2010-12-05,2010,12,2010-12,Sunday,2.1,2.1,12748,Identified customer,United Kingdom,2.1
537163,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,2010-12-05 13:21:00,2010-12-05,2010,12,2010-12,Sunday,1.25,15.0,17863,Identified customer,United Kingdom,15.0
537196,22574,HEART WOODEN CHRISTMAS DECORATION,2,2010-12-05 13:55:00,2010-12-05,2010,12,2010-12,Sunday,0.85,1.7,15426,Identified customer,United Kingdom,1.7
537197,22963,JAM JAR WITH GREEN LID,12,2010-12-05 14:02:00,2010-12-05,2010,12,2010-12,Sunday,0.85,10.2,12647,Identified customer,Germany,10.2
537201,85049F,BABY BOOM RIBBONS ,12,2010-12-05 14:19:00,2010-12-05,2010,12,2010-12,Sunday,1.25,15.0,12472,Identified customer,Germany,15.0
537201,22636,CHILDS BREAKFAST SET CIRCUS PARADE,4,2010-12-05 14:19:00,2010-12-05,2010,12,2010-12,Sunday,8.5,34.0,12472,Identified customer,Germany,34.0
537201,22572,ROCKING HORSE GREEN CHRISTMAS ,24,2010-12-05 14:19:00,2010-12-05,2010,12,2010-12,Sunday,0.85,20.4,12472,Identified customer,Germany,20.4
537201,22144,CHRISTMAS CRAFT LITTLE FRIENDS,12,2010-12-05 14:19:00,2010-12-05,2010,12,2010-12,Sunday,2.1,25.200000000000003,12472,Identified customer,Germany,25.200000000000003
537201,22595,CHRISTMAS GINGHAM HEART,12,2010-12-05 14:19:00,2010-12-05,2010,12,2010-12,Sunday,0.85,10.2,12472,Identified customer,Germany,10.2
537201,22321,BIRD DECORATION RED RETROSPOT,12,2010-12-05 14:19:00,2010-12-05,2010,12,2010-12,Sunday,0.85,10.2,12472,Identified customer,Germany,10.2
537207,22635,CHILDS BREAKFAST SET DOLLY GIRL ,4,2010-12-05 15:06:00,2010-12-05,2010,12,2010-12,Sunday,9.95,39.8,17402,Identified customer,United Kingdom,39.8
537208,51020A,SUMMER FUN DESIGN SHOWER CAP,1,2010-12-05 15:12:00,2010-12-05,2010,12,2010-12,Sunday,1.25,1.25,15889,Identified customer,United Kingdom,1.25
537212,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2010-12-05 15:21:00,2010-12-05,2010,12,2010-12,Sunday,1.65,19.8,12720,Identified customer,Germany,19.799999999999997
537212,22960,JAM MAKING SET WITH JARS,6,2010-12-05 15:21:00,2010-12-05,2010,12,2010-12,Sunday,4.25,25.5,12720,Identified customer,Germany,25.5
537212,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2010-12-05 15:21:00,2010-12-05,2010,12,2010-12,Sunday,2.1,12.6,12720,Identified customer,Germany,12.600000000000001
537217,22847,"BREAD BIN, DINER STYLE, IVORY",4,2010-12-05 15:40:00,2010-12-05,2010,12,2010-12,Sunday,14.95,59.8,15502,Identified customer,United Kingdom,59.8
537218,22716,CARD CIRCUS PARADE,12,2010-12-05 15:46:00,2010-12-05,2010,12,2010-12,Sunday,0.42,5.04,12763,Identified customer,Japan,5.04
537218,84988,SET OF 72 PINK HEART PAPER DOILIES,24,2010-12-05 15:46:00,2010-12-05,2010,12,2010-12,Sunday,1.45,34.8,12763,Identified customer,Japan,34.8
537218,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,12,2010-12-05 15:46:00,2010-12-05,2010,12,2010-12,Sunday,0.85,10.2,12763,Identified customer,Japan,10.2
537219,21531,RED RETROSPOT SUGAR JAM BOWL,1,2010-12-05 15:47:00,2010-12-05,2010,12,2010-12,Sunday,2.55,2.55,14081,Identified customer,United Kingdom,2.55
537224,22830,UTILTY CABINET WITH HOOKS,1,2010-12-05 16:24:00,2010-12-05,2010,12,2010-12,Sunday,26.95,26.95,13174,Identified customer,United Kingdom,26.95
537225,85049A,TRADITIONAL CHRISTMAS RIBBONS,1,2010-12-05 16:41:00,2010-12-05,2010,12,2010-12,Sunday,1.25,1.25,12748,Identified customer,United Kingdom,1.25
537237,22594,CHRISTMAS GINGHAM TREE,5,2010-12-06 09:58:00,2010-12-06,2010,12,2010-12,Monday,1.66,8.299999999999999,Unknown,Unknown customer,United Kingdom,8.299999999999999
537237,22792,FLUTED ANTIQUE CANDLE HOLDER,2,2010-12-06 09:58:00,2010-12-06,2010,12,2010-12,Monday,1.66,3.32,Unknown,Unknown customer,United Kingdom,3.32
537240,21265,PINK GOOSE FEATHER TREE 60CM,1,2010-12-06 10:08:00,2010-12-06,2010,12,2010-12,Monday,5.91,5.91,Unknown,Unknown customer,United Kingdom,5.91
537240,21314,SMALL GLASS HEART TRINKET POT,4,2010-12-06 10:08:00,2010-12-06,2010,12,2010-12,Monday,4.21,16.84,Unknown,Unknown customer,United Kingdom,16.84
537240,22630,DOLLY GIRL LUNCH BOX,1,2010-12-06 10:08:00,2010-12-06,2010,12,2010-12,Monday,4.21,4.21,Unknown,Unknown customer,United Kingdom,4.21
537240,22732,3D VINTAGE CHRISTMAS STICKERS ,1,2010-12-06 10:08:00,2010-12-06,2010,12,2010-12,Monday,2.51,2.51,Unknown,Unknown customer,United Kingdom,2.51
537240,85131D,BEADED CRYSTAL HEART PINK ON STICK,2,2010-12-06 10:08:00,2010-12-06,2010,12,2010-12,Monday,0.85,1.7,Unknown,Unknown customer,United Kingdom,1.7
537246,20726,LUNCH BAG WOODLAND,10,2010-12-06 10:27:00,2010-12-06,2010,12,2010-12,Monday,1.65,16.5,12808,Identified customer,Portugal,16.5
537246,22271,FELTCRAFT DOLL ROSIE,6,2010-12-06 10:27:00,2010-12-06,2010,12,2010-12,Monday,2.95,17.700000000000003,12808,Identified customer,Portugal,17.700000000000003
537250,21240,BLUE POLKADOT CUP,8,2010-12-06 10:43:00,2010-12-06,2010,12,2010-12,Monday,0.85,6.8,12708,Identified customer,Germany,6.8
537250,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,2010-12-06 10:43:00,2010-12-06,2010,12,2010-12,Monday,4.95,19.8,12708,Identified customer,Germany,19.8
537254,85049C,ROMANTIC PINKS RIBBONS ,1,2010-12-06 11:01:00,2010-12-06,2010,12,2010-12,Monday,1.25,1.25,15898,Identified customer,United Kingdom,1.25
537346,22733,3D TRADITIONAL CHRISTMAS STICKERS,18,2010-12-06 12:21:00,2010-12-06,2010,12,2010-12,Monday,1.25,22.5,15301,Identified customer,United Kingdom,22.5
537354,22563,HAPPY STENCIL CRAFT,1,2010-12-06 12:23:00,2010-12-06,2010,12,2010-12,Monday,1.25,1.25,12748,Identified customer,United Kingdom,1.25
537354,22384,LUNCH BAG PINK POLKADOT,2,2010-12-06 12:23:00,2010-12-06,2010,12,2010-12,Monday,1.65,3.3,12748,Identified customer,United Kingdom,3.3
537362,22617,BAKING SET SPACEBOY DESIGN,1,2010-12-06 12:34:00,2010-12-06,2010,12,2010-12,Monday,4.95,4.95,17596,Identified customer,United Kingdom,4.95
537362,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,2010-12-06 12:34:00,2010-12-06,2010,12,2010-12,Monday,2.1,2.1,17596,Identified customer,United Kingdom,2.1
537362,22176,BLUE OWL SOFT TOY,1,2010-12-06 12:34:00,2010-12-06,2010,12,2010-12,Monday,2.95,2.95,17596,Identified customer,United Kingdom,2.95
537368,20750,RED RETROSPOT MINI CASES,4,2010-12-06 12:40:00,2010-12-06,2010,12,2010-12,Monday,7.95,31.8,14911,Identified customer,EIRE,31.8
537375,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2,2010-12-06 12:55:00,2010-12-06,2010,12,2010-12,Monday,2.95,5.9,17019,Identified customer,United Kingdom,5.9
537374,22619,SET OF 6 SOLDIER SKITTLES,1,2010-12-06 12:55:00,2010-12-06,2010,12,2010-12,Monday,3.75,3.75,17259,Identified customer,United Kingdom,3.75
537378,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,72,2010-12-06 13:06:00,2010-12-06,2010,12,2010-12,Monday,0.85,61.2,14911,Identified customer,EIRE,61.199999999999996
537382,22837,HOT WATER BOTTLE BABUSHKA ,4,2010-12-06 13:13:00,2010-12-06,2010,12,2010-12,Monday,4.65,18.6,16710,Identified customer,United Kingdom,18.6
537391,22905,CALENDAR IN SEASON DESIGN,4,2010-12-06 13:53:00,2010-12-06,2010,12,2010-12,Monday,2.95,11.8,16550,Identified customer,United Kingdom,11.8
537397,22754,SMALL RED BABUSHKA NOTEBOOK ,12,2010-12-06 14:19:00,2010-12-06,2010,12,2010-12,Monday,0.85,10.2,16817,Identified customer,United Kingdom,10.2
